127.0.0.1 - - [09/Feb/2018:15:44:14 -0500] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [09/Feb/2018:15:44:16 -0500] "GET /spring-mvc-webapp/ HTTP/1.1" 200 6407
0:0:0:0:0:0:0:1 - - [09/Feb/2018:15:44:16 -0500] "GET /spring-mvc-webapp/css/bootstrap.min.css HTTP/1.1" 200 121205
0:0:0:0:0:0:0:1 - - [09/Feb/2018:15:44:16 -0500] "GET /spring-mvc-webapp/bootstrap-3.3.5/bootstrap-3.3.7-dist/bootstrap-3.3.7-dist/css/bootstrap.min.css HTTP/1.1" 404 1188
0:0:0:0:0:0:0:1 - - [09/Feb/2018:15:44:16 -0500] "GET /spring-mvc-webapp/js/jquery-3.1.1.min.js HTTP/1.1" 200 86713
0:0:0:0:0:0:0:1 - - [09/Feb/2018:15:44:16 -0500] "GET /spring-mvc-webapp/js/bootstrap.min.js HTTP/1.1" 200 37051
0:0:0:0:0:0:0:1 - - [09/Feb/2018:15:44:16 -0500] "GET /spring-mvc-webapp/images/dog.jpg HTTP/1.1" 200 6041
0:0:0:0:0:0:0:1 - - [09/Feb/2018:15:44:16 -0500] "GET /spring-mvc-webapp/images/cat.jpg HTTP/1.1" 200 11257
0:0:0:0:0:0:0:1 - - [09/Feb/2018:15:44:16 -0500] "GET /spring-mvc-webapp/images/snake.jpg HTTP/1.1" 200 7114
0:0:0:0:0:0:0:1 - - [09/Feb/2018:15:44:16 -0500] "GET /spring-mvc-webapp/images/horse.jpg HTTP/1.1" 200 7369
0:0:0:0:0:0:0:1 - - [09/Feb/2018:15:44:16 -0500] "GET /spring-mvc-webapp/images/cockatoo.jpg HTTP/1.1" 200 5244
0:0:0:0:0:0:0:1 - - [09/Feb/2018:15:44:16 -0500] "GET /spring-mvc-webapp/images/monkey.jpg HTTP/1.1" 200 5669
0:0:0:0:0:0:0:1 - - [09/Feb/2018:15:44:16 -0500] "GET /spring-mvc-webapp/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 200 20127
0:0:0:0:0:0:0:1 - - [09/Feb/2018:15:44:19 -0500] "GET /spring-mvc-webapp/jsp/submitForm.jsp HTTP/1.1" 200 9024
0:0:0:0:0:0:0:1 - - [09/Feb/2018:15:44:19 -0500] "GET /spring-mvc-webapp/css/blog.css HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [09/Feb/2018:15:44:19 -0500] "GET /spring-mvc-webapp/js/tinymce/jquery.tinymce.min.js HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [09/Feb/2018:15:44:19 -0500] "GET /spring-mvc-webapp/js/tinymce/tinymce.min.js HTTP/1.1" 404 1080
0:0:0:0:0:0:0:1 - - [09/Feb/2018:15:44:19 -0500] "GET /spring-mvc-webapp/js/AmazingAutoBlog.js HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [09/Feb/2018:15:44:22 -0500] "GET /spring-mvc-webapp/found.jsp HTTP/1.1" 200 2275
0:0:0:0:0:0:0:1 - - [09/Feb/2018:15:44:23 -0500] "GET /spring-mvc-webapp/lost.jsp HTTP/1.1" 200 2280
0:0:0:0:0:0:0:1 - - [09/Feb/2018:15:44:24 -0500] "GET /spring-mvc-webapp/search.jsp HTTP/1.1" 200 2158
0:0:0:0:0:0:0:1 - - [09/Feb/2018:15:44:24 -0500] "GET /spring-mvc-webapp/bootstrap-3.3.5/bootstrap-3.3.7-dist/bootstrap-3.3.7-dist/css/bootstrap.min.css HTTP/1.1" 404 1188
0:0:0:0:0:0:0:1 - - [09/Feb/2018:15:44:25 -0500] "GET /spring-mvc-webapp/contactus.jsp HTTP/1.1" 200 4177
0:0:0:0:0:0:0:1 - - [09/Feb/2018:15:44:27 -0500] "GET /spring-mvc-webapp/jsp/index.jsp HTTP/1.1" 200 6407
0:0:0:0:0:0:0:1 - - [09/Feb/2018:15:44:27 -0500] "GET /spring-mvc-webapp/jsp/bootstrap-3.3.5/bootstrap-3.3.7-dist/bootstrap-3.3.7-dist/css/bootstrap.min.css HTTP/1.1" 404 1196
0:0:0:0:0:0:0:1 - - [09/Feb/2018:15:44:29 -0500] "GET /spring-mvc-webapp/jsp/index.jsp HTTP/1.1" 200 6407
0:0:0:0:0:0:0:1 - - [09/Feb/2018:15:44:29 -0500] "GET /spring-mvc-webapp/jsp/bootstrap-3.3.5/bootstrap-3.3.7-dist/bootstrap-3.3.7-dist/css/bootstrap.min.css HTTP/1.1" 404 1196
0:0:0:0:0:0:0:1 - - [09/Feb/2018:15:44:58 -0500] "GET /spring-mvc-webapp/jsp/index.jsp HTTP/1.1" 200 6407
0:0:0:0:0:0:0:1 - - [09/Feb/2018:15:44:58 -0500] "GET /spring-mvc-webapp/jsp/bootstrap-3.3.5/bootstrap-3.3.7-dist/bootstrap-3.3.7-dist/css/bootstrap.min.css HTTP/1.1" 404 1196
0:0:0:0:0:0:0:1 - - [09/Feb/2018:15:45:01 -0500] "GET /spring-mvc-webapp/jsp/index.jsp HTTP/1.1" 200 6407
0:0:0:0:0:0:0:1 - - [09/Feb/2018:15:45:01 -0500] "GET /spring-mvc-webapp/jsp/bootstrap-3.3.5/bootstrap-3.3.7-dist/bootstrap-3.3.7-dist/css/bootstrap.min.css HTTP/1.1" 404 1196
0:0:0:0:0:0:0:1 - - [09/Feb/2018:15:45:02 -0500] "GET /spring-mvc-webapp/jsp/submitForm.jsp HTTP/1.1" 200 9024
0:0:0:0:0:0:0:1 - - [09/Feb/2018:15:45:02 -0500] "GET /spring-mvc-webapp/css/blog.css HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [09/Feb/2018:15:45:02 -0500] "GET /spring-mvc-webapp/js/tinymce/tinymce.min.js HTTP/1.1" 404 1080
0:0:0:0:0:0:0:1 - - [09/Feb/2018:15:45:02 -0500] "GET /spring-mvc-webapp/js/AmazingAutoBlog.js HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [09/Feb/2018:15:45:02 -0500] "GET /spring-mvc-webapp/js/tinymce/jquery.tinymce.min.js HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [09/Feb/2018:15:45:03 -0500] "GET /spring-mvc-webapp/found.jsp HTTP/1.1" 200 2275
0:0:0:0:0:0:0:1 - - [09/Feb/2018:15:45:04 -0500] "GET /spring-mvc-webapp/lost.jsp HTTP/1.1" 200 2280
0:0:0:0:0:0:0:1 - - [09/Feb/2018:15:45:05 -0500] "GET /spring-mvc-webapp/search.jsp HTTP/1.1" 200 2158
0:0:0:0:0:0:0:1 - - [09/Feb/2018:15:45:05 -0500] "GET /spring-mvc-webapp/bootstrap-3.3.5/bootstrap-3.3.7-dist/bootstrap-3.3.7-dist/css/bootstrap.min.css HTTP/1.1" 404 1188
0:0:0:0:0:0:0:1 - - [09/Feb/2018:15:45:06 -0500] "GET /spring-mvc-webapp/contactus.jsp HTTP/1.1" 200 4177
0:0:0:0:0:0:0:1 - - [09/Feb/2018:15:45:07 -0500] "GET /spring-mvc-webapp/jsp/index.jsp HTTP/1.1" 200 6407
0:0:0:0:0:0:0:1 - - [09/Feb/2018:15:45:07 -0500] "GET /spring-mvc-webapp/jsp/bootstrap-3.3.5/bootstrap-3.3.7-dist/bootstrap-3.3.7-dist/css/bootstrap.min.css HTTP/1.1" 404 1196
